series,model,MAE,MSE,RMSE,MAPE,MASE
Denver Bike Shop,LSTM,79400.375,8624080695.303507,92865.92860303237,4.116516145833336e+16,0.6531784715366897
Denver Bike Shop,Naive,62838.333333333336,7248050408.333333,85135.4826634191,1.655833333333336e+16,1.0
Detroit Cycles,AutoARIMA,19107.807017543862,507906839.01969844,22536.78856935252,9417602339181924.0,0.46997836958211064
Detroit Cycles,LSTM,18941.794921875,533865385.8397484,23105.52717078207,8438655598959067.0,0.4658951122003648
Detroit Cycles,Naive,8675.0,202628775.0,14234.773443929482,470000000000031.56,1.0
Indianapolis Velocipedes,AutoARIMA,29972.01754385965,1030793461.1957525,32105.97236022844,4891315789473734.0,1.2030076296227867
Indianapolis Velocipedes,LSTM,30253.970703125,1191070774.3972836,34511.89323113531,2356875325520887.0,1.214324578883747
Indianapolis Velocipedes,Naive,22246.666666666668,1118096333.3333333,33437.947504793614,1.9036666666666676e+16,1.0
Ithaca Mountain Climbers,AutoARIMA,85406.18287370504,10724143645.278969,103557.44128395105,5.15948387356795e+16,0.8181665066609184
Ithaca Mountain Climbers,LSTM,48834.536458333336,3455955312.9045005,58787.37375410217,2.731871614583335e+16,0.46782072157004423
Ithaca Mountain Climbers,Naive,47748.333333333336,3450072708.3333335,58737.3195535286,2.1630000000000016e+16,1.0
Kansas City 29ers,AutoARIMA,52594.74612894463,6255516526.357308,79091.82338495749,18.45239605262985,0.4205033863034425
Kansas City 29ers,LSTM,102334.9609375,13040299245.339457,114194.12964482656,43.59918152085934,0.8181843392864524
Kansas City 29ers,Naive,103626.66666666667,16431717083.333334,128186.25933903108,62.98180326606838,1.0
Las Vegas Cycles,AutoARIMA,53923.07017543862,2907697497.145277,53923.07017543861,5.392307017543861e+16,0.7580340054064647
Las Vegas Cycles,LSTM,43575.514322916664,1911238326.8886464,43717.711821281846,4.357551432291667e+16,0.612571234397052
Las Vegas Cycles,Naive,0.0,0.0,0.0,0.0,1.0
Los Angeles Cycles,AutoARIMA,15221.802714927297,243246791.2958661,15596.371093811089,5705539295308880.0,0.7164772813025474
Los Angeles Cycles,LSTM,15899.094401041666,264191758.12984657,16253.976686640306,4338617513020868.0,0.7483568237591164
Los Angeles Cycles,Naive,12538.333333333334,397794808.3333333,19944.79401581609,1.1465000000000004e+16,1.0
Louisville Race Equipment,AutoARIMA,24943.09813105767,641293745.0401607,25323.77825365245,2.494309813105767e+16,0.5836679224915037
Louisville Race Equipment,LSTM,22261.399739583332,529621913.6028697,23013.515889643408,2.2261399739583336e+16,0.520916241819097
Louisville Race Equipment,Naive,0.0,0.0,0.0,0.0,1.0
Miami Race Equipment,AutoARIMA,19324.619883040938,442981379.224377,21047.122825326434,184.64608832063593,0.48388643478568194
Miami Race Equipment,LSTM,21811.037109375,475790658.2265587,21812.62611944189,170.6115800423416,0.5461460587432201
Miami Race Equipment,Naive,12846.666666666666,407308866.6666667,20181.89452620013,37.841702024322146,1.0
Minneapolis Bike Shop,AutoARIMA,23016.198830409357,567782017.466913,23828.176964822822,335.5758791609734,0.52394916639754
Minneapolis Bike Shop,LSTM,17582.067057291668,531000085.0827802,23043.439089744832,128.5097975429769,0.40024460364160724
Minneapolis Bike Shop,Naive,22873.333333333332,1030672083.3333334,32104.08203536325,58.40988512281533,1.0
Nashville Cruisers,AutoARIMA,39147.397660818715,2508031274.98461,50080.24835186633,1.1374795321637458e+16,1.2685133716619184
Nashville Cruisers,LSTM,34230.314127604164,2556765237.565202,50564.46615524782,5281394205729196.0,1.1091825710425944
Nashville Cruisers,Naive,33460.0,3358714800.0,57954.420021254635,33.3333333333333,1.0
New Orleans Velocipedes,AutoARIMA,41424.41017875348,1743290103.2685368,41752.7256986719,1.507900457334846e+16,0.9298903860451985
New Orleans Velocipedes,LSTM,34867.738932291664,1231671889.9119122,35095.18328648409,1.1667773437501252e+16,0.7827069854793416
New Orleans Velocipedes,Naive,1338.3333333333333,3260208.3333333335,1805.6047001858778,360000000000024.4,1.0
New York Cycles,AutoARIMA,41220.555555555555,2934513519.444444,54171.15025033569,7189444444444483.0,1.1110738014001547
New York Cycles,LSTM,36618.036783854164,2654744803.255834,51524.21569762934,5429405273437532.0,0.9870158415117266
New York Cycles,Naive,37385.0,2449200675.0,49489.39962254543,1.1025000000000024e+16,1.0
Oklahoma City Race Equipment,AutoARIMA,35953.567251461995,1660957898.738074,40754.8512294926,1.9633567251462052e+16,0.6046043670493336
Oklahoma City Race Equipment,LSTM,45294.6484375,3040897066.964701,55144.32941803446,2.6538302083333412e+16,0.7616863733643341
Oklahoma City Race Equipment,Naive,23610.0,958459500.0,30958.99707677883,7290000000000023.0,1.0
Philadelphia Bike Shop,AutoARIMA,18209.64912280702,485848343.2132964,22041.96777089778,4212982456140411.5,0.7807235548103466
Philadelphia Bike Shop,LSTM,18040.93359375,396878345.48532933,19921.805778727223,5161584960937571.0,0.7734900168817037
Philadelphia Bike Shop,Naive,18043.333333333332,782202833.3333334,27967.889325677283,66.66666666666605,1.0
Phoenix Bi-peds,AutoARIMA,13420.717414122555,204649526.40444374,14305.576758888254,23.379617137520718,0.22964418261772795
